snapshot_month,quote_currency,usd_to_quote,rate_date,source,source_url
2024-10,USD,1.0000000000,2024-10-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-10,GBP,0.7696471237,2024-10-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-10,EUR,0.9189487227,2024-10-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-10,JPY,152.8211725786,2024-10-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-10,AUD,1.5216871899,2024-10-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-10,CAD,1.3907369969,2024-10-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-10,BRL,5.7558353244,2024-10-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-10,INR,84.0773754824,2024-10-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-10,SGD,1.3211725786,2024-10-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-10,KRW,1378.4690314280,2024-10-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-10,ZAR,17.6317772468,2024-10-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-11,USD,1.0000000000,2024-11-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-11,GBP,0.7877769362,2024-11-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-11,EUR,0.9467903806,2024-11-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-11,JPY,150.1988259799,2024-11-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-11,AUD,1.5380609733,2024-11-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-11,CAD,1.4008710472,2024-11-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-11,BRL,6.0936375686,2024-11-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-11,INR,84.5715773528,2024-11-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-11,SGD,1.3405604999,2024-11-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-11,KRW,1397.5667487218,2024-11-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-11,ZAR,18.0625828442,2024-11-29,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-12,USD,1.0000000000,2024-12-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-12,GBP,0.7981326403,2024-12-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-12,EUR,0.9625565502,2024-12-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-12,JPY,156.9544710752,2024-12-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-12,AUD,1.6143998460,2024-12-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-12,CAD,1.4388295312,2024-12-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-12,BRL,6.1847146020,2024-12-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-12,INR,85.6035229570,2024-12-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-12,SGD,1.3633650977,2024-12-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-12,KRW,1474.7810183848,2024-12-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2024-12,ZAR,18.8842044470,2024-12-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-01,USD,1.0000000000,2025-01-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-01,GBP,0.8044645434,2025-01-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-01,EUR,0.9621860868,2025-01-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-01,JPY,154.9023381122,2025-01-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-01,AUD,1.6070432022,2025-01-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-01,CAD,1.4466467815,2025-01-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-01,BRL,5.8382565188,2025-01-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-01,INR,86.5914557875,2025-01-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-01,SGD,1.3558164149,2025-01-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-01,KRW,1449.6488020783,2025-01-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-01,ZAR,18.6267680169,2025-01-31,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-02,USD,1.0000000000,2025-02-28,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-02,GBP,0.7934684468,2025-02-28,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-02,EUR,0.9605225243,2025-02-28,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-02,JPY,150.7636154068,2025-02-28,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-02,AUD,1.6080107579,2025-02-28,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-02,CAD,1.4426087792,2025-02-28,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-02,BRL,5.8315243492,2025-02-28,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-02,INR,87.3796945538,2025-02-28,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-02,SGD,1.3482854673,2025-02-28,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
2025-02,KRW,1459.9173950629,2025-02-28,ECB reference rates,https://data-api.ecb.europa.eu/service/data/EXR/D.USD+GBP+JPY+AUD+CAD+BRL+INR+SGD+KRW+ZAR.EUR.SP00.A
